Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,3.963737719666364e9,7.320676982919873e8,-4.053048778075426e8,6.081098256854389e7,48.7740755999368,9.921753025856935
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,9.218294900782722e8,9.487032518739431e8,-1.3059452616309038e8,1.1881796259899281e8,11.925747128780882,12.735021474029546
EmissionMinimizer,5.133501757600431e8,6.737030932485915e8,-6.281384830614086e7,5.370373269948199e7,7.09859997261244,10.143993598642533
DynamicEmissionMinimizer,2.0913102210644672e9,9.125027961623367e8,-1.8054301136924806e8,8.231352186563377e7,26.511347187357345,12.52733808303888
POMCPOW,6.032544970833576e8,1.7788995769534102e8,-3.1348937375683222e7,7.62713787052757e6,6.883380661804245,2.0915242085970935
