Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,1.0304207836596943e9,3.862588361884773e8,-4.062845695676116e8,6.047445497305842e7,2.4243301293871156,5.0714462488388925
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,8.673531374633642e7,3.5734028320861053e8,-2.4726976792364725e8,1.2239848037068544e8,-5.602123551546481,3.4751911090967718
EmissionMinimizer,-1.1999419505970606e8,1.2448573930335896e8,-6.281384830614086e7,5.370373269948199e7,-4.4185064905446305,2.0253533933925922
DynamicEmissionMinimizer,5.858184911115592e8,3.906558261481972e8,-1.8054301136924806e8,8.231352186563377e7,2.577031280912365,5.136067896124037
POMCPOW,1.1346595751020236e9,3.4541571722552365e8,-2.4928493427842656e8,4.727611249855263e7,10.544277830612339,4.292747616560557
