Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,1.933045662025487e9,3.012747631882282e8,-4.062845695676116e8,6.047445497305842e7,21.910141938055236,4.302538306865053
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,8.952766077751216e8,4.4911453354793555e8,-2.4726976792364725e8,1.2239848037068544e8,10.709057940329286,5.1281495139710955
EmissionMinimizer,4.877721075817148e8,4.892718962884011e8,-6.281384830614086e7,5.370373269948199e7,7.562045615279193,7.783436318609857
DynamicEmissionMinimizer,1.0201373305496509e9,4.956815732392136e8,-1.8054301136924806e8,8.231352186563377e7,13.222977467587105,7.250549367332439
POMCPOW,1.2640883421806333e9,3.808485873875224e8,-2.449847554534496e8,5.0730055112158895e7,14.870935132118886,5.364295628278841
