Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,6.349781652861143e8,2.6916475943885565e8,-4.053048778075426e8,6.081098256854389e7,-1.184835815279436,3.698378654413413
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,6.305655870972709e7,1.4352665898878744e8,-1.5944346685054734e8,1.256261177705183e8,-2.767702097176887,1.7079675139107067
EmissionMinimizer,6.4343931638941085e6,1.0834197671805799e8,-6.281384830614086e7,5.370373269948199e7,-1.7371264191013,0.9508442667221236
DynamicEmissionMinimizer,3.821108238039656e8,2.391739865292996e8,-1.8054301136924806e8,8.231352186563377e7,1.0464571145348718,3.171395941384362
POMCPOW,5.639354598415807e8,2.1020873650281343e8,-8.153938999239232e7,1.6637241458698275e7,5.7823478333645735,2.447919170848093
