Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,1.9318408784641688e9,3.0692158823343015e8,-4.053048778075426e8,6.081098256854389e7,21.95271842337801,4.410505620723107
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,7.477131377835984e8,4.6434290721241295e8,-1.5944346685054734e8,1.256261177705183e8,10.13673007358329,6.185971903149343
EmissionMinimizer,4.877721075817148e8,4.892718962884011e8,-6.281384830614086e7,5.370373269948199e7,7.562045615279193,7.783436318609857
DynamicEmissionMinimizer,1.0201373305496509e9,4.956815732392136e8,-1.8054301136924806e8,8.231352186563377e7,13.222977467587105,7.250549367332439
POMCPOW,4.7331129236483127e8,1.7808807412012953e8,-8.450480582805733e7,1.838902689217538e7,4.825109177984028,2.1160856139683646
