Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,6.349781652861143e8,2.6916475943885565e8,-4.053048778075426e8,6.081098256854389e7,-1.184835815279436,3.698378654413413
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,6.79261576385235e7,1.7996731490280303e8,-1.3059452616309038e8,1.1881796259899281e8,-2.1478036071134596,2.1076267121393872
EmissionMinimizer,6.4343931638941085e6,1.0834197671805799e8,-6.281384830614086e7,5.370373269948199e7,-1.7371264191013,0.9508442667221236
DynamicEmissionMinimizer,3.821108238039656e8,2.391739865292996e8,-1.8054301136924806e8,8.231352186563377e7,1.0464571145348718,3.171395941384362
POMCPOW,3.0123681802952033e8,1.0706235104350317e8,-3.1348937375683222e7,7.62713787052757e6,3.2089005597254756,1.2377476653438806
