Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,1.9318408784641688e9,3.0692158823343015e8,-4.053048778075426e8,6.081098256854389e7,21.95271842337801,4.410505620723107
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,6.940309085028118e8,5.493722660212094e8,-1.3059452616309038e8,1.1881796259899281e8,9.631645406493716,7.722790623200967
EmissionMinimizer,4.877721075817148e8,4.892718962884011e8,-6.281384830614086e7,5.370373269948199e7,7.562045615279193,7.783436318609857
DynamicEmissionMinimizer,1.0201373305496509e9,4.956815732392136e8,-1.8054301136924806e8,8.231352186563377e7,13.222977467587105,7.250549367332439
POMCPOW,9.011928276967905e7,5.533944584618072e7,-3.1348937375683222e7,7.62713787052757e6,0.6445348036052337,0.6155118955770619
