Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,1.0297612092810162e9,3.8605896501009005e8,-4.0655629052632016e8,6.097451959703607e7,2.423848663475843,5.076896403204215
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,6.3205322145889565e7,3.4708279485053474e8,-2.3878737054568335e8,1.2240953128478943e8,-5.751888139330963,3.373952857563922
EmissionMinimizer,-1.1999419505970606e8,1.2448573930335896e8,-6.281384830614086e7,5.370373269948199e7,-4.4185064905446305,2.0253533933925922
DynamicEmissionMinimizer,5.858184911115592e8,3.906558261481972e8,-1.8054301136924806e8,8.231352186563377e7,2.577031280912365,5.136067896124037
POMCPOW,5.2251413828025883e8,4.2022559312670976e8,-1.0059808418387845e8,4.2333638118955106e7,5.087043761442884,4.889113103381503
