Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,1.0335553046152445e9,3.8905922196236026e8,-4.053048778075426e8,6.081098256854389e7,2.5484227272797524,5.112878173270153
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,-4.091901468710895e7,2.4933800234133926e8,-1.5944346685054734e8,1.256261177705183e8,-5.416165269479093,2.6807412102915134
EmissionMinimizer,-1.1999419505970606e8,1.2448573930335896e8,-6.281384830614086e7,5.370373269948199e7,-4.4185064905446305,2.0253533933925922
DynamicEmissionMinimizer,5.858184911115592e8,3.906558261481972e8,-1.8054301136924806e8,8.231352186563377e7,2.577031280912365,5.136067896124037
POMCPOW,9.872270093145084e8,3.045071411288025e8,-8.384133906245448e7,1.6101675144253876e7,11.197712591073389,3.7063566817141798
