Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,6.345428271137396e8,2.6462282884994704e8,-4.062845695676116e8,6.047445497305842e7,-1.265915681187866,3.636196932531376
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,1.293222601451043e8,2.0513390778320578e8,-2.4726976792364725e8,1.2239848037068544e8,-3.6647281576992228,1.5204350939485338
EmissionMinimizer,6.4343931638941085e6,1.0834197671805799e8,-6.281384830614086e7,5.370373269948199e7,-1.7371264191013,0.9508442667221236
DynamicEmissionMinimizer,3.821108238039656e8,2.391739865292996e8,-1.8054301136924806e8,8.231352186563377e7,1.0464571145348718,3.171395941384362
POMCPOW,6.083406029750777e8,2.4781280030400383e8,-2.4095180605767518e8,4.547262450902383e7,4.005149192880744,3.1616842309478295
