Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,3.963097436241237e9,7.205671705903418e8,-4.062845695676116e8,6.047445497305842e7,48.70316869949748,9.720845051772384
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,1.3407324483073924e9,9.412539616885269e8,-2.4726976792364725e8,1.2239848037068544e8,15.765713165333251,11.686371926365474
EmissionMinimizer,5.133501757600431e8,6.737030932485915e8,-6.281384830614086e7,5.370373269948199e7,7.09859997261244,10.143993598642533
DynamicEmissionMinimizer,2.0913102210644672e9,9.125027961623367e8,-1.8054301136924806e8,8.231352186563377e7,26.511347187357345,12.52733808303888
POMCPOW,3.171954735837295e9,7.178197740444739e8,-2.499984918551658e8,5.051729165615559e7,41.10650971516754,10.02165321960399
