Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,3.9667831198736167e9,7.213329887553701e8,-4.0655629052632016e8,6.097451959703607e7,48.78046838405625,9.72411171905971
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,1.2965530814124498e9,9.188536028223875e8,-2.3878737054568335e8,1.2240953128478943e8,15.34951231790926,11.418394264601828
EmissionMinimizer,5.133501757600431e8,6.737030932485915e8,-6.281384830614086e7,5.370373269948199e7,7.09859997261244,10.143993598642533
DynamicEmissionMinimizer,2.0913102210644672e9,9.125027961623367e8,-1.8054301136924806e8,8.231352186563377e7,26.511347187357345,12.52733808303888
POMCPOW,1.7216036170686362e9,9.014428648849052e8,-9.949403377947949e7,4.3143695957872994e7,23.484693542684326,11.797759321635487
