Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,3.963737719666364e9,7.320676982919873e8,-4.053048778075426e8,6.081098256854389e7,48.7740755999368,9.921753025856935
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,9.763892142221926e8,8.29454654281876e8,-1.5944346685054734e8,1.256261177705183e8,12.385990025238376,10.636214221770057
EmissionMinimizer,5.133501757600431e8,6.737030932485915e8,-6.281384830614086e7,5.370373269948199e7,7.09859997261244,10.143993598642533
DynamicEmissionMinimizer,2.0913102210644672e9,9.125027961623367e8,-1.8054301136924806e8,8.231352186563377e7,26.511347187357345,12.52733808303888
POMCPOW,1.6506994727264726e9,4.602973596064763e8,-8.17684749705746e7,1.5093040155614084e7,19.80190696479284,5.731728822550913
