Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,6.352373662413104e8,2.6469138515536714e8,-4.0655629052632016e8,6.097451959703607e7,-1.245930678222119,3.63700409498121
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,1.1871459942689045e8,1.9764323762155432e8,-2.3878737054568335e8,1.2240953128478943e8,-3.639276964306147,1.5585545880782523
EmissionMinimizer,6.4343931638941085e6,1.0834197671805799e8,-6.281384830614086e7,5.370373269948199e7,-1.7371264191013,0.9508442667221236
DynamicEmissionMinimizer,3.821108238039656e8,2.391739865292996e8,-1.8054301136924806e8,8.231352186563377e7,1.0464571145348718,3.171395941384362
POMCPOW,3.2182089407159173e8,2.803011453340525e8,-1.0132297484320384e8,4.481561000636233e7,2.623060764408742,3.0407607005164112
