Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,1.9355927873432727e9,3.0130776943977714e8,-4.0655629052632016e8,6.097451959703607e7,21.95731845097387,4.292227621941478
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,8.8253512035091e8,4.412393938476702e8,-2.3878737054568335e8,1.2240953128478943e8,10.703659379584272,5.123198097167256
EmissionMinimizer,4.877721075817148e8,4.892718962884011e8,-6.281384830614086e7,5.370373269948199e7,7.562045615279193,7.783436318609857
DynamicEmissionMinimizer,1.0201373305496509e9,4.956815732392136e8,-1.8054301136924806e8,8.231352186563377e7,13.222977467587105,7.250549367332439
POMCPOW,7.696027872118161e8,3.7819156270808154e8,-9.838294292550834e7,4.2477344226345226e7,10.02488034808485,4.821417146228432
