Policy,MeanProfit,StdProfit,MeanEmissions,StdEmissions,MeanDiscountedReward,StdDiscountedReward
DynamicProfitMaximizer,1.0335553046152445e9,3.8905922196236026e8,-4.053048778075426e8,6.081098256854389e7,2.5484227272797524,5.112878173270153
ExploreOnly,-100000.0,0.0,0.0,0.0,-0.0017767509824854267,2.205473771126446e-19
ProfitMaximizer,-1.4982266986325629e7,2.878822530054626e8,-1.3059452616309038e8,1.1881796259899281e8,-4.395144635277573,3.4524935374750365
EmissionMinimizer,-1.1999419505970606e8,1.2448573930335896e8,-6.281384830614086e7,5.370373269948199e7,-4.4185064905446305,2.0253533933925922
DynamicEmissionMinimizer,5.858184911115592e8,3.906558261481972e8,-1.8054301136924806e8,8.231352186563377e7,2.577031280912365,5.136067896124037
POMCPOW,4.0572106734538764e8,1.382594252117023e8,-3.1348937375683222e7,7.62713787052757e6,4.475163572289267,1.6133127950988249
